movieid,country
1672052,Australia
1672111,Australia
1672111,USA
1672580,USA
1672716,USA
1672946,USA
1673647,France
1673647,Portugal
1673658,USA
1673848,USA
1674388,USA
1674737,USA
1677011,USA
1677258,France
1677346,USA
1677472,USA
1677516,USA
1677631,UK
1677631,USA
1678036,USA
1678591,UK
1679029,USA
1679461,USA
1679507,USA
1679920,"South Korea"
1681633,USA
1681655,USA
1682630,USA
1682657,UK
1682657,USA
1682692,USA
1682746,Germany
1682746,Luxembourg
1682746,Netherlands
1682746,UK
1682922,Germany
1682922,USA
1684201,Canada
1684201,USA
1684430,USA
1684442,USA
1684486,USA
1684910,USA
1685241,USA
1685309,Canada
1685309,USA
1685405,USA
1685463,UK
1685463,USA
1685493,UK
1685815,USA
1686071,Canada
1686209,USA
1687181,USA
1687191,USA
1687544,USA
1687685,USA
1687730,USA
1687738,USA
1687905,USA
1688103,UK
1688103,USA
1688565,Germany
1688565,Ireland
1688565,Japan
1688565,Spain
1688565,UK
1689117,"South Africa"
1689117,USA
1689183,USA
1689210,UK
1689263,USA
1689475,UK
1690318,Hungary
1690318,UK
1690318,USA
1690377,UK
1690616,USA
1690710,USA
1690773,UK
1690773,USA
1690958,Australia
1691077,USA
1691387,USA
1691642,UK
1691685,Ireland
1691685,UK
1691793,Germany
1691793,USA
1692173,Italy
1692173,UK
1692173,USA
1692404,USA
1692580,UK
1692580,USA
1693225,USA
1693305,UK
1693341,USA
1693345,USA
1693346,USA
1693347,USA
1693348,USA
1693818,USA
1693861,USA
1693880,USA
1694141,USA
1694448,UK
1694448,USA
1694647,USA
1694901,USA
1695219,USA
1695355,UK
1696148,France
1696148,Germany
1696148,Japan
1696148,UK
1696148,USA
1696165,USA
1696168,USA
1696396,USA
1696473,France
1696473,UK
1696473,USA
1696496,USA
1696789,USA
1697037,USA
1697674,USA
1697690,USA
1697774,Germany
1697774,Switzerland
1697856,USA
1698492,USA
1698547,USA
1698667,UK
1698667,USA
1698944,Mexico
1698944,USA
1698960,USA
1698972,Australia
1698972,USA
1699546,USA
1699876,Netherlands
1699876,UK
1703410,Ireland
1703410,UK
1703410,USA
1703469,USA
1703588,USA
1703679,France
1703679,Italy
1703679,Spain
1703907,USA
1704569,USA
1704571,USA
1704577,USA
1704645,UK
1704645,USA
1705196,USA
1705417,USA
1706079,USA
1706140,USA
1706887,USA
1707277,USA
1707941,USA
1708591,USA
1708982,USA
1709238,USA
1709892,Ireland
1709892,USA
1709901,USA
1710609,France
1710609,Japan
1710622,France
1710622,Japan
1710673,Taiwan
1710994,Germany
1711133,USA
1711143,Canada
1711143,USA
1711145,Canada
1711145,USA
1711175,Germany
1711175,USA
1711356,USA
1711383,USA
1711384,USA
1711393,USA
1711395,USA
1711398,USA
1712152,Japan
1713183,USA
1713499,USA
1713755,France
1713755,USA
