movieid,genre
1672052,Drama
1672052,History
1672052,War
1672111,Action
1672111,Adventure
1672111,Comedy
1672580,Comedy
1672580,Romance
1672716,Drama
1672946,Action
1672946,Comedy
1672946,Crime
1672946,Drama
1673647,Drama
1673647,Musical
1673658,Comedy
1673658,Drama
1673658,Thriller
1673848,Comedy
1673848,Drama
1673848,Romance
1674388,Adventure
1674388,Comedy
1674388,Family
1674737,Drama
1677011,Comedy
1677011,Crime
1677258,Comedy
1677258,Drama
1677346,Biography
1677346,Comedy
1677346,Romance
1677472,Sci-Fi
1677472,Short
1677516,Comedy
1677516,Drama
1677516,Romance
1677631,Adventure
1677631,Mystery
1677631,Sci-Fi
1678036,Sci-Fi
1678036,Thriller
1678591,Comedy
1678591,Drama
1678591,Romance
1678591,Sport
1679029,Comedy
1679029,Drama
1679461,Action
1679461,Adventure
1679461,Comedy
1679461,Family
1679507,Comedy
1679920,Horror
1679920,Mystery
1679920,Thriller
1681633,Crime
1681633,Thriller
1681655,Drama
1681655,History
1682630,Crime
1682657,Comedy
1682657,Crime
1682692,Biography
1682692,Drama
1682692,Sport
1682746,Comedy
1682746,Drama
1682922,Crime
1682922,Mystery
1682922,Thriller
1684201,Crime
1684201,Drama
1684201,Romance
1684430,Crime
1684430,Drama
1684442,Drama
1684486,Adventure
1684486,Animation
1684486,Comedy
1684486,Family
1684910,Documentary
1685241,Drama
1685241,Family
1685241,Fantasy
1685309,Comedy
1685309,Family
1685405,Drama
1685463,Crime
1685463,Drama
1685463,Sci-Fi
1685493,Animation
1685493,Comedy
1685493,Crime
1685493,Family
1685493,Short
1685815,Drama
1686071,Drama
1686071,Family
1686071,Thriller
1686209,Comedy
1686209,Musical
1686209,Romance
1687181,Drama
1687181,Family
1687191,Animation
1687191,Short
1687544,Drama
1687685,Comedy
1687685,Drama
1687730,Adventure
1687730,Drama
1687730,Family
1687730,Romance
1687738,Drama
1687738,Romance
1687738,War
1687905,Crime
1687905,Drama
1687905,Mystery
1687905,Thriller
1688103,Comedy
1688103,Crime
1688565,Drama
1688565,Romance
1688565,Thriller
1689117,Comedy
1689183,Adventure
1689183,Animation
1689183,Comedy
1689183,Family
1689183,Musical
1689183,Romance
