movieid,name
1672052,"7 Network [au]"
1672052,"Australian Film Commission, The [au]"
1672052,"Pact Productions"
1672052,"South Australian Film Corporation, The [au]"
1672111,"Paramount Pictures [us]"
1672111,"Rimfire Films [au]"
1672580,"Lakeshore Entertainment [us]"
1672580,"Paramount Pictures [us]"
1672716,"Aaron Spelling Productions [us]"
1672716,"Blackbird Productions"
1672716,"Universal Pictures [us]"
1672946,"Grindhouse Films [us]"
1673647,"Doperfilme [pt]"
1673647,"Grandes Productions Cinématographiques [fr]"
1673647,"Talma Filmes [pt]"
1673658,"Triple Sticks Productions"
1673848,"Jaret Entertainment [us]"
1673848,"Mad Chance [us]"
1673848,"Touchstone Pictures [us] - (presents)"
1674388,"Great Oaks Entertainment"
1674388,"Walt Disney Pictures [us]"
1674388,"Wizzer Productions [us]"
1674737,"Orion-Nova Productions"
1677011,"Redemption Productions [us] - (in association with)"
1677011,"Rysher Entertainment [us]"
1677258,"Anouchka Films [fr]"
1677258,"Argos Films [fr]"
1677258,"Les Films du Carrosse [fr]"
1677258,"Parc Film [fr]"
1677346,"Phoenician Films"
1677472,"American Mutoscope & Biograph [us]"
1677516,"Dogstar Films"
1677516,"Lakeshore Entertainment [us]"
1677516,"MTV Films [us]"
1677631,"Metro-Goldwyn-Mayer (MGM) [us]"
1677631,"Stanley Kubrick Productions [gb] - (as A Stanley Kubrick Production)"
1678036,"Metro-Goldwyn-Mayer (MGM) [us]"
1678591,"British Broadcasting Corporation (BBC) [gb]"
1678591,"Scala Films"
1679029,"Columbia Pictures Corporation [us] - (presents) (as Columbia Pictures)"
1679029,"Tall Trees Productions [us] - (as a Tall Trees production)"
1679461,"Leeds/Ben-Ami Productions - (in association with)"
1679461,"Sheen Productions [us]"
1679461,"TriStar Pictures [us] - (presents)"
1679507,"Absolute Entertainment (II) [us]"
1679507,"Lithium Entertainment Group [us]"
1679507,"Metro-Goldwyn-Mayer (MGM) [us]"
1679507,"Motion Picture Corporation of America (MPCA) [us]"
1679920,"Park Chul-Soo Films Ltd. [kr]"
1681633,"Cannon Group [us]"
1681655,Dollface
1681655,"FilmColony [us]"
1681655,"Miramax Films [us]"
1681655,"Redeemable Features"
1682630,"SLOMOtion Studios [us]"
1682657,"Orion Pictures Corporation [us] - (presents) (copyright owners)"
1682657,"Rank Organisation, The [gb] - (in association with) (as Rank Film Distributors)"
1682692,"Jersey Films [us]"
1682692,"New Line Cinema [us]"
1682746,"Continent Film GmbH (I) [de] - (presents)"
1682746,"Delux Productions [lu] - (presents)"
1682746,"Kasander & Wigman Productions [nl] - (as Kees Kasander Production)"
1682746,"Movie Masters [nl] - (presents)"
1682746,"Woodline Productions [gb] - (presents)"
1682922,"Columbia Pictures Corporation [us]"
1682922,"Global Entertainment Productions GmbH & Company Medien KG [de]"
1682922,"Hofflund/Polone [us]"
1684201,"Pacific Motion Pictures Corporation [us]"
1684201,"Skouras Pictures [us]"
1684430,"B.T. Films [us]"
1684430,"Cecchi Gori Pictures [us]"
1684430,"Penta Entertainment [it] - (in association with) (presents)"
1684430,"Price Entertainment - (presents)"
1684430,"Silvio Berlusconi Communications [it] - (presents) (as Silvio Berlusconi)"
1684430,"Tribeca Productions [us]"
1684442,"Overseas FilmGroup [us]"
1684442,"Rosefunk Pictures - (presents)"
1684486,"Pixar Animation Studios [us]"
1684486,"Walt Disney Pictures [us] - (presents)"
1685241,"Loew's [us] - (produced by) (as Loew's Incorporated)"
1685241,"Metro-Goldwyn-Mayer (MGM) [us] - (presents)"
1685309,"Christmas Tree Films [us] - (uncredited)"
1685309,"Metro-Goldwyn-Mayer (MGM) [us] - (presents)"
1685405,"Paramount Pictures [us] - (presents)"
1685405,"Scott Rudin Productions [us] - (as Scott Rudin)"
1685405,"Touchstone Pictures [us] - (presents)"
1685405,"Wildwood Enterprises [us]"
1685463,"Hawk Films [gb] - (as Hawk Films Limited)"
1685463,"Warner Bros. [us] - (presents) (as Warner Bros. A Kinney Company)"
1685493,"Aardman Animations [gb] - (as An Aardman Animation Production)"
1685493,"BBC Bristol [gb] - (in association with) (as BBC BRISTOL)"
1685493,"BBC Children's International [gb] - (in association with)"
1685493,"Wallace & Gromit [gb] - (in association with) (as Wallace & Gromit Ltd.)"
1685815,"Fox 2000 Pictures [us] - (presents)"
1685815,Jacobs/Mutrux
1686209,"RKO Radio Pictures [us] - (presents) (as RKO Radio Pictures, Inc.) (A Pandro S. Berman Production)"
1687181,"Woodbridge Films"
1687191,"Bud Fisher Film Corporation"
1687544,"Newtown Productions [us] - (An Elia Kazan Production)"
1687685,"Butcher's Run Films [us]"
1687730,"Amblin Entertainment [us] - (presents)"
1687730,"Touchwood Pacific Partners 1 [us] - (presented in association with)"
1687730,"Walt Disney Pictures [us] - (presents)"
1687738,"Paramount Pictures [us]"
1687905,"Castle Rock Entertainment [us]"
1687905,"Columbia Pictures Corporation [us]"
1688103,"Metro-Goldwyn-Mayer (MGM) [us]"
1688103,"Prominent Features [gb]"
1688103,"Star Partners Limited Partnership"
1688565,"Channel Four Films [gb]"
1688565,"Neue Deutsche Filmgesellschaft (NDF) [de]"
1688565,"Pony Canyon [jp]"
1688565,"Road Movies Dritte Produktionen [de]"
1688565,"Samson Films [ie]"
1688565,"Zephyr Films [gb]"
1689117,"Capitol Films [gb] - (in association with)"
1689117,"Polar Entertainment"
1689117,"South African Breweries [za] - (co-production)"
1689117,"Southern Sun [us]"
1689183,"Walt Disney Pictures [us] - (presents)"
1689210,"Aardman Animations [gb] - (uncredited)"
1689210,"National Film and Television School (NFTS) [gb] - (uncredited)"
1689263,"Flo-Bert Ltd."
1689263,"Jean Bach"
1689263,"New York Foundation for the Arts [us]"
1689475,"Maljack Productions [us] - (uncredited)"
1689475,"Proscenium Films [gb]"
1689475,"Walter Shenson Films - (A Walter Shenson Production)"
1690318,"Tapestry Films [us]"
1690318,"Trimark Pictures [us]"
1690318,"Walt Disney Pictures [us]"
1690377,"Attica Film Company - (presents)"
1690616,"Columbia Pictures Corporation [us]"
1690616,"Parkway Productions [us]"
1690710,"AGP/Ann Gillis Productions"
1690710,"Sheen/Michaels Entertainment"
1690773,"Channel Four Films [gb]"
1690773,"Figment Films [gb]"
1690773,"Polygram Filmed Entertainment [us]"
1690958,"Beyond Films [au]"
1690958,"Columbia TriStar Television Pty. Ltd. [au]"
1690958,"Faust Films Pty. Ltd. [au]"
1691077,"Baltimore Pictures [us]"
1691077,"Mark Johnson Productions [us]"
1691077,"Warner Bros. [us] - (presents)"
1691387,"Caravan Pictures [us]"
1691387,"Hollywood Pictures [us]"
1691642,"Highland Films [gb]"
1691685,"BBC Films [gb] - (presents)"
1691685,"Little Bird [ie] - (as A Little Bird Production)"
1691685,"Majestic Films International [gb] - (in association with) (as Majestic Films) (presents)"
1691685,Newcomm
1691793,"Cinerenta Medienbeteiligungs KG [de]"
1691793,"Cineventa [us]"
1691793,"First Look International [us]"
1691793,"Kennedy/Marshall Company, The [us]"
1691793,"Overseas FilmGroup [us]"
1692173,"Fox Searchlight Pictures [us] - (presenter)"
1692173,"Panoramica [it]"
1692173,"Regency Enterprises [us] - (presenter)"
1692173,"Taurus Film [de] - (in association with)"
1692404,"Nick of Time Productions Inc."
1692580,Anuline
1692580,"Miramax Films [us]"
1693225,"Paramount Pictures [us]"
1693225,"SNL Studios [us]"
1693305,"Rank Organisation, The [gb] - (presents) (A William MacQuitty Production)"
1693341,"Elm Street Venture, The [us] - (copyright owner)"
1693341,"Media Home Entertainment [us] - (presents)"
1693341,"New Line Cinema [us] - (presents)"
1693341,"Smart Egg Pictures [gb] - (presents)"
1693345,"Heron Communications - (presents)"
1693345,"New Line Cinema [us] - (presents)"
1693345,"Smart Egg Pictures [gb] - (presents)"
1693345,"Third Elm Street Venture - (copyright owner)"
1693346,"Heron Communications - (presents)"
1693346,"New Line Cinema [us] - (presents)"
1693346,"Smart Egg Pictures [gb] - (presents)"
1693347,"Heron Communications - (presents)"
1693347,"Media Home Entertainment [us] - (uncredited)"
1693347,"New Line Cinema [us] - (presents)"
